职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
高级java开发工程师,117691780,元气森林饮料,2000人以上,其他,5-10年,北京,30k-40k,本科,全职,"['定期体检', '午餐补助', '股票期权', '专项奖金']",三餐免费，有发展前景
java开发工程师,1403,爱回收,2000人以上,"电商,消费生活",3-5年,北京,20k-40k,本科,全职,"['节日礼物', '股票期权', '专项奖金', '带薪年假']",节日福利
Java开发工程师,28121,KLOOK 客路旅行,500-2000人,旅游,3-5年,深圳,20k-25k,本科,全职,"['扁平管理', '国际化团队', '旅游基金', '定期体检']",国际化团队
Java开发工程师,3060,华为技术有限公司,2000人以上,通讯电子,不限,北京,20k-40k,本科,全职,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",软件开发
高级Java开发工程师,62,字节跳动,2000人以上,文娱丨内容,3-5年,北京,25k-50k,本科,全职,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","六险一金,股票期权,弹性工作,免费三餐"
java开发工程师,491264,腾盛软件,50-150人,"金融,数据服务",1-3年,深圳,15k-30k,本科,全职,"['绩效奖金', '定期体检', '带薪年假', '弹性工作']",五险一金|带薪年假|薪资优厚|平台稳定
高级java开发工程师,62,字节跳动,2000人以上,文娱丨内容,3-5年,杭州,20k-40k,本科,全职,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",横向支持整个字节，国际化
java开发工程师,465363,领端科技,15-50人,"移动互联网,企业服务",1-3年,东莞,5k-10k,本科,全职,[],急招，行业经验者优先
Java开发工程师,147,拉勾网,500-2000人,企业服务,10年以上,北京,10k-11k,本科,全职,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",好
java工程师,527182,兴盛优选,2000人以上,电商,3-5年,深圳,20k-40k,本科,全职,[],前景好 技术新 团队稳 大牛多
java开发工程师,1868,平安产险,2000人以上,金融,5-10年,深圳,16k-30k,本科,全职,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']","专业团队,工作氛围,大平台,尊重"
Java高级开发工程师,147,拉勾网,500-2000人,企业服务,5-10年,北京,20k-40k,本科,全职,"['五险一金', '弹性工作', '带薪年假', '免费两餐']","足够的技术,挑战和有,创造力的,团队"
Java开发工程师,752543,北京亚格斯科技发展有限公司,50-150人,软件开发,3-5年,北京,14k-16k,本科,全职,[],java开发工程师
高级java开发工程师,92417,浙江盘石,2000人以上,"移动互联网,广告营销",5-10年,杭州,18k-25k,本科,全职,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",五险一金、包吃、健身房、带薪年假
Java开发工程师,3060,华为技术有限公司,2000人以上,通讯电子,不限,杭州,20k-40k,本科,全职,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",数据库开发
383190-Java架构师,6974,平安金融壹账通,2000人以上,金融,5-10年,上海,25k-35k,本科,全职,"['绩效奖金', '专项奖金', '五险一金', '带薪年假']","五险一金,绩效奖金,定期体检,带薪年假"
高级Java开发工程师,73707,秦丝科技,150-500人,"移动互联网,企业服务",3-5年,深圳,15k-30k,本科,全职,"['年底双薪', '股票期权', '绩效奖金', '岗位晋升']",核心骨干，期权，高并发，高速发展
高级java开发工程师,105456,心理壹点灵,150-500人,"移动互联网,医疗丨健康",5-10年,上海,25k-35k,本科,全职,"['弹性工作', '美女多', '牛人多', '扁平管理']",平台前景好 扁平管理 团队氛围好
高级java开发工程师,92417,浙江盘石,2000人以上,"移动互联网,广告营销",5-10年,杭州,18k-25k,本科,全职,"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",五险一金、包吃、健身房、带薪年假
java高级开发工程师,362188,金千枝软件,150-500人,"企业服务,数据服务",5-10年,深圳,18k-25k,大专,全职,[],五险一金 下午茶 节日福利
java开发工程师,296391,汇合,2000人以上,"企业服务,金融",3-5年,深圳,11k-17k,本科,全职,"['绩效奖金', '带薪年假', '管理规范', '五险一金']",5天工作制 年终奖 六险一金 项目稳定
java开发工程师,356014,易宝软件科技（南京）有限公司,150-500人,移动互联网,3-5年,深圳,15k-25k,大专,全职,[],13薪，团队氛围好，
java开发工程师,17785,联龙博通,2000人以上,"移动互联网,电商",3-5年,深圳,11k-15k,本科,全职,"['节日礼物', '技能培训', '带薪年假', '绩效奖金']",双休 五险一金
